AT-SPI2 Root Children Extraction
================================
Path: /org/a11y/atspi/accessible/root | Name: gnome-shell | Role: 75 | States: [0 0] | Attributes: map[]
Path: /org/a11y/atspi/accessible/root | Name: ibus-extension-gtk3 | Role: 75 | States: [0 0] | Attributes: map[]
Path: /org/a11y/atspi/accessible/root | Name: evolution-alarm-notify | Role: 75 | States: [0 0] | Attributes: map[]
Path: /org/a11y/atspi/accessible/root | Name: xdg-desktop-portal-gtk | Role: 75 | States: [0 0] | Attributes: map[]
Path: /org/a11y/atspi/accessible/root | Name: Firefox | Role: 75 | States: [1107296256 0] | Attributes: map[]
Path: /org/a11y/atspi/accessible/root | Name: ptyxis | Role: 75 | States: [0 0] | Attributes: map[toolkit:GTK]
Path: /org/a11y/atspi/accessible/root | Name: code | Role: 75 | States: [1124075776 0] | Attributes: map[explicit-name:true name-from:attribute]
Path: /org/a11y/atspi/accessible/root | Name: Firefox | Role: 75 | States: [1107296256 0] | Attributes: map[]
Path: /org/a11y/atspi/accessible/root | Name: gnome-text-editor | Role: 75 | States: [0 0] | Attributes: map[toolkit:GTK]
Path: /org/a11y/atspi/accessible/root | Name: org.gnome.clocks | Role: 75 | States: [0 0] | Attributes: map[toolkit:GTK]
Path: /org/a11y/atspi/accessible/root | Name: orca | Role: 75 | States: [0 0] | Attributes: map[]
Path: /org/a11y/atspi/accessible/root | Name: gsconnect | Role: 75 | States: [0 0] | Attributes: map[]
